device_id,device_type,os,manufacturer,network_operator,user_id,name,age,location,data_usage,network_speed,connection_duration,session_start_time,cell_id,signal_strength,latency,jitter,packet_loss
9424,IoT device,Android,Sony,Vodafone,2994,Andrea Ortega,48,"(Decimal('52.0020145'), Decimal('99.582831'))",22.65,525.94,5043,2024-08-17 20:42:17.880546,236,-54.87,45.03,47.05,4.17
9703,router,iOS,Apple,T-Mobile,3007,Nicole Martin,48,"(Decimal('-37.6348155'), Decimal('160.189224'))",44.75,942.1,2798,2024-03-01 05:01:39.452022,334,-78.39,14.88,32.25,2.44
7147,smartphone,iOS,Sony,AT&T,7566,Christine Davis MD,27,"(Decimal('-43.7542805'), Decimal('144.068692'))",3.64,223.37,2445,2024-07-20 22:22:48.794012,778,-113.09,84.11,40.24,3.83
2032,IoT device,iOS,Apple,AT&T,1235,Deanna Bailey,73,"(Decimal('55.3325085'), Decimal('86.383651'))",38.91,253.18,5179,2024-01-31 23:07:59.517871,225,-54.89,91.39,8.62,3.58
6439,router,Windows,Sony,T-Mobile,5652,Charles Stevens,31,"(Decimal('20.085886'), Decimal('-151.101255'))",2.17,49.52,4815,2024-03-29 11:55:21.955616,339,-81.79,28.01,49.83,2.79
6376,smartphone,iOS,Nokia,Vodafone,5258,Julia Thompson,36,"(Decimal('33.2396885'), Decimal('12.342877'))",6.12,407.73,441,2024-07-14 22:27:36.337293,264,-90.87,98.01,30.46,0.4
5720,router,Android,Sony,Verizon,8996,Shannon Williams,20,"(Decimal('-11.790900'), Decimal('-35.226813'))",49.32,730.09,4302,2024-06-19 05:09:46.407579,804,-104.36,85.6,2.35,3.75
4104,router,Windows,Nokia,Vodafone,8880,Christopher Johnson,38,"(Decimal('-78.1226255'), Decimal('56.238936'))",1.26,883.62,4499,2024-08-25 06:49:27.207382,984,-101.6,28.56,4.39,4.63
9984,smartphone,iOS,Huawei,T-Mobile,9159,Adrian Gibbs,29,"(Decimal('-30.003361'), Decimal('-131.073829'))",43.96,498.45,3637,2024-02-19 18:06:17.647861,259,-70.75,81.96,46.47,0.03
2849,router,Windows,Samsung,AT&T,75,Lisa Prince,31,"(Decimal('43.2960455'), Decimal('76.252786'))",1.99,380.42,439,2024-05-16 23:40:45.262002,549,-86.57,28.95,44.89,4.61
1956,router,Windows,Sony,T-Mobile,3173,Alexandra Martin,58,"(Decimal('25.090029'), Decimal('-98.162881'))",33.97,227.69,6172,2024-04-15 05:51:30.046178,573,-67.06,29.3,45.42,3.17
6937,router,Windows,Nokia,Vodafone,7465,Justin Heath,37,"(Decimal('22.249430'), Decimal('58.108246'))",28.06,625.0,2222,2024-07-03 01:29:07.278491,847,-107.86,66.39,15.5,1.29
1347,IoT device,Windows,Sony,AT&T,317,Christina Cain,72,"(Decimal('31.8589565'), Decimal('40.074572'))",18.69,120.97,1833,2024-08-11 21:13:56.995234,658,-113.1,96.84,8.37,1.81
2241,smartphone,Android,Apple,Vodafone,2855,Robert Harvey,65,"(Decimal('33.6429075'), Decimal('-45.495466'))",45.45,791.5,4551,2024-03-20 22:32:05.647310,454,-80.39,36.72,29.92,1.04
5078,IoT device,Windows,Apple,Verizon,2371,Stacey Castro,53,"(Decimal('-38.190798'), Decimal('3.639581'))",18.19,974.04,3257,2024-01-27 10:21:40.495314,230,-80.63,80.74,18.17,2.76
2386,router,iOS,Huawei,AT&T,1014,Molly Williams,70,"(Decimal('-76.400781'), Decimal('139.783195'))",19.6,357.45,924,2024-01-09 13:26:15.101018,947,-68.99,52.43,15.93,0.59
5930,router,iOS,Sony,Verizon,9420,Nicole Wilson,69,"(Decimal('71.189859'), Decimal('51.373149'))",46.77,690.11,5885,2024-07-10 08:16:38.094800,75,-70.18,3.22,35.96,2.73
7925,smartphone,Windows,Apple,AT&T,6412,Charles Crawford,73,"(Decimal('-58.8600885'), Decimal('14.366976'))",42.6,452.96,6225,2024-08-17 16:02:05.279155,602,-58.68,80.86,43.98,4.79
1232,IoT device,Android,Sony,Vodafone,4643,Michael Tucker,79,"(Decimal('-46.5968515'), Decimal('46.673168'))",11.65,829.2,2196,2024-03-01 09:54:28.955055,147,-62.42,3.98,32.27,0.1
4813,smartphone,Android,Nokia,AT&T,9180,Michelle Roberts,40,"(Decimal('16.753202'), Decimal('47.609403'))",36.01,876.22,3694,2024-07-12 07:39:45.179862,325,-115.93,63.87,40.5,0.58
5730,IoT device,Windows,Huawei,Verizon,3201,Tami Chan,64,"(Decimal('73.4102085'), Decimal('-120.317724'))",11.75,295.38,250,2024-04-04 06:39:11.194443,750,-113.76,42.62,20.71,4.61
8362,IoT device,Windows,Sony,T-Mobile,5113,Mrs. Anne Grant,52,"(Decimal('80.180979'), Decimal('150.441501'))",4.35,920.71,6917,2024-06-18 04:05:03.754165,142,-79.04,25.49,39.61,3.06
1934,router,Windows,Apple,Vodafone,6055,Michael Reed,47,"(Decimal('-18.1371215'), Decimal('30.787072'))",42.11,174.19,5680,2024-06-22 14:02:07.082829,194,-93.29,36.63,7.09,3.93
2798,router,Android,Apple,Vodafone,2836,Anthony Palmer,22,"(Decimal('-55.071092'), Decimal('99.966810'))",28.76,662.51,3237,2024-08-10 18:23:13.504742,706,-81.47,95.39,34.63,4.51
6597,router,Windows,Huawei,Vodafone,7165,Terri Camacho,69,"(Decimal('66.1624495'), Decimal('-53.080660'))",41.98,486.58,3328,2024-07-16 02:42:08.535595,79,-105.62,2.4,36.35,2.47
8634,smartphone,Windows,Sony,T-Mobile,9979,Sharon Dodson,29,"(Decimal('88.999075'), Decimal('-158.964224'))",30.34,708.27,3706,2024-01-09 16:21:34.498233,866,-106.86,89.33,41.6,1.16
6967,IoT device,Android,Sony,Vodafone,1771,Justin Henderson,27,"(Decimal('-24.6342985'), Decimal('-154.953960'))",10.83,227.6,5114,2024-03-13 05:51:02.251367,80,-96.46,69.45,0.89,0.77
4439,router,Windows,Sony,T-Mobile,269,Benjamin Torres,18,"(Decimal('-48.375089'), Decimal('-154.841559'))",49.1,176.28,2779,2024-07-27 01:44:09.171716,911,-46.84,38.36,0.51,1.27
1373,IoT device,Android,Huawei,T-Mobile,2043,Jacob Chapman,35,"(Decimal('23.128713'), Decimal('43.787618'))",41.51,387.08,2645,2024-05-31 15:45:07.700456,583,-66.96,88.96,34.69,2.38
4102,IoT device,Windows,Samsung,AT&T,1273,Fernando Cooper,52,"(Decimal('54.6113165'), Decimal('-137.024256'))",39.51,357.39,6267,2024-05-20 08:16:09.145832,510,-98.14,72.17,31.1,2.52
3843,smartphone,Android,Nokia,Verizon,2851,Jill Valentine,43,"(Decimal('58.159863'), Decimal('-14.666712'))",41.64,909.6,4203,2024-05-16 17:22:02.951740,611,-86.14,67.81,33.8,3.65
1389,smartphone,Windows,Samsung,AT&T,7378,Thomas Aguilar,54,"(Decimal('-77.302671'), Decimal('69.153816'))",36.32,217.69,6688,2024-01-23 22:35:50.901680,528,-45.45,33.07,3.63,4.4
4082,smartphone,Android,Samsung,Verizon,8663,Eileen Wu,49,"(Decimal('-26.8381145'), Decimal('-142.235042'))",16.61,888.3,7147,2024-03-04 08:37:22.490193,923,-111.81,57.62,17.8,0.85
4346,IoT device,Android,Sony,Vodafone,5309,Steven Carson,30,"(Decimal('4.116952'), Decimal('-177.367361'))",22.85,949.98,1833,2024-03-13 14:15:15.492004,666,-71.04,10.78,39.7,1.1
6314,IoT device,Android,Samsung,Verizon,2485,Micheal Vaughn,42,"(Decimal('9.197565'), Decimal('-43.548747'))",35.68,43.98,310,2024-03-23 05:00:20.638649,782,-73.91,27.12,17.83,3.43
5263,IoT device,Windows,Apple,AT&T,3289,Francisco Bryant,43,"(Decimal('-85.2564495'), Decimal('63.489099'))",19.54,627.95,4747,2024-04-08 01:33:13.044274,751,-74.68,5.22,5.84,1.34
2685,IoT device,iOS,Samsung,Vodafone,2146,Michelle Washington,54,"(Decimal('14.874474'), Decimal('22.812670'))",17.25,916.22,6812,2024-08-29 02:55:34.677520,548,-50.84,6.66,47.8,1.89
2113,IoT device,iOS,Huawei,AT&T,16,Andrew Parker,49,"(Decimal('11.5790005'), Decimal('120.799817'))",27.42,809.38,3864,2024-06-03 18:02:44.561792,397,-96.78,9.37,9.62,4.53
5424,IoT device,Android,Sony,Verizon,3875,Zachary Carpenter,26,"(Decimal('89.065261'), Decimal('3.006766'))",18.29,155.32,3475,2024-05-28 16:02:43.358341,170,-112.09,74.78,5.63,2.76
1044,router,Windows,Samsung,Vodafone,6010,John Atkins,73,"(Decimal('6.1769205'), Decimal('-97.121740'))",9.92,483.03,1095,2024-05-03 14:08:37.002787,192,-103.93,88.28,33.33,0.73
1702,smartphone,iOS,Sony,Verizon,4381,Amanda Barnett,71,"(Decimal('-17.205842'), Decimal('109.094521'))",29.89,798.48,4141,2024-09-16 06:52:53.002228,473,-72.4,10.88,47.74,1.42
5767,smartphone,Android,Samsung,Verizon,5282,Collin Palmer,80,"(Decimal('3.7668455'), Decimal('-21.644499'))",28.07,982.84,6698,2024-03-30 01:02:32.123811,680,-83.22,80.11,22.77,2.99
6022,smartphone,Android,Samsung,T-Mobile,4028,Emily Moore,39,"(Decimal('-36.366298'), Decimal('-5.583359'))",12.67,640.03,620,2024-09-19 19:19:20.379164,68,-40.57,76.76,38.23,3.24
9922,smartphone,Windows,Samsung,T-Mobile,9740,Kyle Kane,24,"(Decimal('9.8315585'), Decimal('89.349857'))",16.59,39.78,4300,2024-01-20 12:08:57.466003,213,-108.78,38.41,21.57,1.18
9161,router,iOS,Nokia,AT&T,309,Jessica Vega,59,"(Decimal('0.6115805'), Decimal('-135.175776'))",45.35,71.58,3056,2024-01-05 07:02:00.375535,892,-88.0,8.68,0.9,0.54
3651,IoT device,Windows,Huawei,Vodafone,1182,Theresa Carter,60,"(Decimal('61.864468'), Decimal('28.431982'))",35.38,249.87,136,2024-06-09 18:55:33.660500,661,-67.89,10.99,27.38,0.76
2872,smartphone,Windows,Huawei,Verizon,635,Joshua Lewis,36,"(Decimal('59.248201'), Decimal('46.241667'))",41.58,599.6,3048,2024-08-08 23:18:42.190955,463,-92.44,31.86,4.65,0.93
3515,router,iOS,Huawei,Verizon,8958,Martin Wells,43,"(Decimal('-57.927747'), Decimal('-135.478747'))",31.24,651.03,2122,2024-02-12 23:41:55.046575,106,-46.58,37.82,24.02,0.92
1402,smartphone,iOS,Samsung,Vodafone,4457,David Williams,44,"(Decimal('-13.3162795'), Decimal('140.161002'))",13.51,800.08,6522,2024-08-16 03:30:46.136456,119,-119.2,7.87,46.33,0.88
9603,IoT device,iOS,Huawei,Verizon,6410,Lisa Foster,58,"(Decimal('-74.331610'), Decimal('4.180108'))",6.5,998.55,5506,2024-08-10 17:44:30.857686,173,-53.05,96.32,23.03,2.7
5867,router,Windows,Samsung,T-Mobile,582,Brandy Cruz DDS,45,"(Decimal('-29.4740015'), Decimal('-126.836871'))",21.01,492.17,568,2024-07-17 12:26:05.370699,708,-59.85,61.03,30.46,2.56
1436,smartphone,iOS,Apple,T-Mobile,8930,Sarah Ferguson,59,"(Decimal('-28.4637925'), Decimal('-27.043324'))",21.01,248.96,5762,2024-03-17 17:17:00.591356,65,-96.14,99.79,5.3,1.77
9904,smartphone,iOS,Nokia,Verizon,6250,Lori Buchanan,33,"(Decimal('66.9515695'), Decimal('-62.317676'))",43.53,463.19,5698,2024-04-26 00:42:22.533375,690,-79.11,45.04,47.42,0.07
5047,smartphone,Windows,Nokia,T-Mobile,4678,Sarah Holmes,68,"(Decimal('-49.127746'), Decimal('47.959175'))",0.49,136.06,1365,2024-07-27 09:06:12.483124,701,-91.64,74.14,44.32,2.31
8550,router,Windows,Apple,Verizon,479,Marcus Navarro,62,"(Decimal('-40.317694'), Decimal('150.497320'))",27.24,373.24,3888,2024-06-10 23:30:12.927081,688,-62.86,36.72,45.84,2.86
1737,router,Android,Nokia,Verizon,5079,Mike Bates,57,"(Decimal('-68.522882'), Decimal('15.101910'))",21.35,117.15,3296,2024-08-29 20:29:24.666589,867,-66.15,41.59,28.19,2.7
8872,IoT device,Windows,Apple,Verizon,5892,Jeffery Hicks,65,"(Decimal('-62.6890775'), Decimal('-75.821044'))",39.96,369.85,5260,2024-02-27 11:51:59.334717,250,-92.65,76.87,15.36,2.73
4035,IoT device,iOS,Samsung,Vodafone,2028,Alan Diaz,40,"(Decimal('-6.8329835'), Decimal('-130.934348'))",4.84,652.37,3970,2024-03-04 04:22:35.242920,281,-63.54,69.22,13.38,2.56
7161,router,Android,Samsung,Verizon,7533,Wyatt Coleman,41,"(Decimal('-13.7985505'), Decimal('-30.908527'))",0.63,777.96,1829,2024-07-09 06:20:34.165104,962,-41.07,41.76,0.13,0.39
9450,IoT device,Android,Huawei,AT&T,4860,James Scott,56,"(Decimal('-80.1923575'), Decimal('-2.280151'))",13.59,378.98,4723,2024-09-10 18:27:19.287147,987,-69.54,79.17,33.0,2.92
6524,smartphone,iOS,Apple,T-Mobile,9196,Todd Mccann,22,"(Decimal('0.856795'), Decimal('-96.739066'))",35.88,921.28,1747,2024-06-23 21:53:34.472409,832,-86.47,99.63,2.77,2.47
1016,smartphone,Windows,Samsung,T-Mobile,5258,Jennifer Bruce,66,"(Decimal('8.3731575'), Decimal('166.724488'))",9.39,718.63,4017,2024-02-01 16:44:18.950887,345,-88.0,62.47,3.28,1.49
6625,smartphone,Windows,Sony,T-Mobile,7523,Peter Odonnell,21,"(Decimal('-53.0027295'), Decimal('149.763380'))",41.64,817.5,2102,2024-01-19 17:37:50.667386,14,-72.56,89.28,39.3,3.23
4990,smartphone,iOS,Nokia,Verizon,2945,Kristin Campbell,31,"(Decimal('84.5712985'), Decimal('58.694522'))",8.81,576.3,6117,2024-05-02 04:45:56.272220,715,-115.15,24.23,34.16,4.81
3497,smartphone,Android,Nokia,Verizon,8321,Catherine Ellis DVM,56,"(Decimal('14.795524'), Decimal('-23.886181'))",27.1,748.35,6923,2024-07-20 01:29:00.602521,615,-43.13,74.17,36.07,3.9
2123,smartphone,Windows,Samsung,Vodafone,2297,Blake Jones,18,"(Decimal('-68.596678'), Decimal('-84.141005'))",22.09,607.29,1656,2024-07-13 02:59:23.157609,4,-46.25,90.92,31.46,0.27
2088,smartphone,iOS,Huawei,Vodafone,933,Michael Hawkins,53,"(Decimal('-61.311250'), Decimal('29.646730'))",19.53,102.95,5364,2024-01-07 11:28:56.692079,267,-96.28,1.33,12.18,3.49
4571,router,iOS,Huawei,AT&T,7509,Jamie Floyd,30,"(Decimal('48.8016405'), Decimal('-3.730307'))",24.15,395.61,15,2024-03-01 08:55:44.125386,24,-91.28,7.12,1.69,1.39
3705,smartphone,iOS,Sony,T-Mobile,7255,Elizabeth Coleman,37,"(Decimal('-39.016596'), Decimal('26.721204'))",38.2,949.44,2330,2024-05-02 19:07:48.116323,706,-114.93,89.45,30.96,3.84
1532,IoT device,Windows,Samsung,Verizon,81,Jeffrey Davidson,33,"(Decimal('84.0599375'), Decimal('-73.111237'))",33.04,543.48,4916,2024-06-03 08:24:56.154291,180,-52.4,20.17,47.9,4.33
5538,router,Windows,Sony,Verizon,1230,Amanda Bell,42,"(Decimal('-41.3899865'), Decimal('147.414055'))",14.16,468.27,28,2024-02-03 12:44:10.601658,813,-114.07,15.74,48.9,2.48
4788,IoT device,Windows,Samsung,Verizon,8284,Megan Carter,30,"(Decimal('65.773713'), Decimal('-147.288518'))",7.81,965.32,2110,2024-02-26 16:53:59.047883,243,-55.87,54.21,19.52,3.68
5887,smartphone,Windows,Nokia,Vodafone,8897,Kenneth Baker,55,"(Decimal('-8.7632805'), Decimal('51.756131'))",2.86,93.02,3084,2024-04-10 12:13:25.335334,660,-95.83,39.05,16.9,1.47
8904,IoT device,Windows,Nokia,Vodafone,4057,Carolyn Calderon,18,"(Decimal('47.4511035'), Decimal('-100.828389'))",8.47,778.59,5340,2024-06-06 19:10:37.980090,49,-80.39,31.98,7.17,0.67
2578,smartphone,Android,Sony,AT&T,6263,Thomas Baird,80,"(Decimal('78.0493805'), Decimal('-12.102193'))",25.82,829.08,6480,2024-02-15 06:39:39.270852,363,-64.61,47.63,20.16,1.28
9200,router,Android,Nokia,AT&T,4399,Kimberly Guzman,41,"(Decimal('42.7203515'), Decimal('30.990639'))",11.43,21.55,656,2024-02-20 10:04:41.292809,46,-43.19,52.75,12.41,0.24
2093,router,iOS,Sony,Vodafone,3221,Preston Grimes,48,"(Decimal('59.5131005'), Decimal('86.006615'))",49.68,123.36,6074,2024-08-14 21:06:28.754624,800,-108.67,66.79,9.27,4.8
1811,router,Windows,Sony,T-Mobile,7175,Misty Smith,33,"(Decimal('73.5585475'), Decimal('152.723595'))",2.04,874.42,1744,2024-04-03 19:21:23.578834,818,-96.15,6.3,38.88,0.27
2201,router,Android,Samsung,T-Mobile,5649,Gwendolyn Davis,76,"(Decimal('-76.537692'), Decimal('92.310969'))",28.97,704.11,5689,2024-08-11 17:48:33.727946,340,-55.09,31.28,3.15,3.81
2983,smartphone,iOS,Samsung,Vodafone,7764,Steve Garza,63,"(Decimal('-11.0513985'), Decimal('169.712802'))",26.51,636.86,357,2024-04-17 13:49:23.915299,921,-92.79,23.66,1.44,2.06
1213,IoT device,Android,Nokia,T-Mobile,7834,Robert Bradford,21,"(Decimal('-46.393044'), Decimal('-89.863427'))",0.18,715.3,4857,2024-08-26 14:42:58.774870,505,-115.87,23.9,27.9,0.76
5877,smartphone,Android,Samsung,Verizon,2786,Richard Bonilla,71,"(Decimal('-8.491833'), Decimal('89.362894'))",39.64,419.49,1370,2024-07-12 08:38:59.645533,298,-100.82,41.81,42.83,3.39
1470,IoT device,iOS,Apple,AT&T,2836,Sharon Orr,77,"(Decimal('-51.2368585'), Decimal('47.544215'))",17.08,750.17,6662,2024-09-08 19:59:18.050329,884,-117.7,54.37,32.7,2.57
8108,smartphone,iOS,Apple,Verizon,4839,Shane Reeves,42,"(Decimal('-7.396744'), Decimal('-119.911355'))",39.92,369.25,199,2024-08-31 21:16:06.786427,25,-99.7,69.57,31.6,1.33
5924,smartphone,Android,Apple,AT&T,2878,Ronald Love,35,"(Decimal('-64.464490'), Decimal('137.443969'))",29.4,808.54,2147,2024-03-29 17:29:32.944930,158,-79.1,26.21,45.24,1.41
3278,smartphone,Windows,Nokia,Vodafone,2550,Taylor Ward,71,"(Decimal('51.0194915'), Decimal('-97.618122'))",47.08,800.38,1328,2024-05-27 17:29:46.967935,336,-66.31,99.73,42.02,1.97
8674,router,Windows,Apple,Vodafone,4160,Mark Morris,53,"(Decimal('0.1845885'), Decimal('115.849015'))",26.93,377.56,4841,2024-01-17 06:40:12.039803,203,-94.86,14.21,12.87,4.66
8273,smartphone,Windows,Apple,Vodafone,6431,Adam Fuller,30,"(Decimal('20.0490385'), Decimal('-155.384520'))",7.69,731.95,4330,2024-08-16 06:30:16.240661,578,-61.1,27.73,40.8,2.36
5965,router,Android,Nokia,T-Mobile,2093,Diane Berger,49,"(Decimal('-29.9640425'), Decimal('130.137478'))",42.83,621.53,53,2024-01-22 07:38:52.256169,84,-60.37,7.54,22.16,4.27
5921,IoT device,Android,Huawei,T-Mobile,1908,Mrs. Natalie Brown,20,"(Decimal('85.6003275'), Decimal('-8.373508'))",17.89,761.33,374,2024-08-03 12:43:45.406567,210,-110.65,7.9,25.19,2.71
2715,router,Windows,Sony,Verizon,9074,Shane Duncan,50,"(Decimal('83.026742'), Decimal('144.504145'))",37.1,663.87,5389,2024-02-05 02:45:33.228038,296,-83.76,78.99,24.61,1.0
7488,IoT device,Android,Sony,AT&T,162,Lori Carlson,56,"(Decimal('-41.5264745'), Decimal('126.738576'))",15.12,692.47,499,2024-01-12 14:40:14.192135,157,-115.56,15.68,11.67,1.33
2535,router,iOS,Huawei,Verizon,8544,Jessica Sanchez,42,"(Decimal('27.8441105'), Decimal('28.278890'))",34.53,494.31,1169,2024-05-26 04:49:15.806722,245,-71.76,73.72,37.82,2.44
8581,smartphone,iOS,Sony,T-Mobile,5914,Richard Lee,38,"(Decimal('30.681216'), Decimal('163.788960'))",41.85,302.59,324,2024-01-11 08:11:58.996234,502,-101.06,81.81,25.53,4.44
6567,router,iOS,Nokia,AT&T,7162,Mariah Washington,62,"(Decimal('-2.254868'), Decimal('-101.334656'))",42.31,877.25,4357,2024-07-02 13:06:32.655418,858,-80.86,10.4,12.62,3.36
8256,router,Windows,Huawei,Vodafone,676,David Flores,47,"(Decimal('23.951162'), Decimal('-57.163853'))",6.59,193.75,1436,2024-03-09 19:54:06.556612,85,-97.76,92.81,6.59,2.75
9357,IoT device,iOS,Huawei,T-Mobile,8399,Kevin Byrd,67,"(Decimal('61.739192'), Decimal('127.340905'))",45.32,882.27,2723,2024-02-12 13:36:40.611168,654,-69.89,13.21,22.0,0.62
5341,smartphone,iOS,Nokia,Verizon,2293,Patricia Lowery,73,"(Decimal('42.817354'), Decimal('114.966093'))",46.83,339.8,6423,2024-05-29 21:51:22.362622,527,-101.62,91.96,47.9,1.37
1433,IoT device,Windows,Huawei,T-Mobile,9801,Sean Garcia,21,"(Decimal('48.136661'), Decimal('-159.583505'))",9.67,669.72,4952,2024-08-02 11:12:02.761822,223,-70.7,20.79,16.96,2.53
9332,smartphone,Android,Sony,Verizon,2882,Tiffany Morris,68,"(Decimal('4.1296965'), Decimal('134.977260'))",14.43,457.12,1553,2024-06-03 10:46:54.345117,134,-76.49,74.89,48.69,4.94
1266,IoT device,Android,Sony,T-Mobile,4157,Claudia Torres,48,"(Decimal('19.6496605'), Decimal('-102.113620'))",6.99,839.86,3100,2024-03-26 00:01:14.341049,26,-61.9,27.36,31.58,2.02
3668,smartphone,Android,Huawei,T-Mobile,261,Emily Robertson,52,"(Decimal('50.419348'), Decimal('97.542742'))",10.52,917.43,4024,2024-04-01 13:23:06.217839,360,-41.23,17.43,0.48,1.35
8282,IoT device,Windows,Nokia,T-Mobile,2682,Ebony Fernandez,54,"(Decimal('-30.293001'), Decimal('128.254916'))",27.82,289.82,3931,2024-07-15 10:15:08.070194,57,-102.53,39.28,31.52,2.66
2763,smartphone,Windows,Apple,T-Mobile,2099,William Johnson,29,"(Decimal('-66.973380'), Decimal('-0.101724'))",5.7,593.49,4877,2024-09-23 08:25:26.376560,841,-109.41,69.05,47.61,0.18
7172,router,iOS,Nokia,Verizon,824,Sean Black,74,"(Decimal('31.2209025'), Decimal('-65.238446'))",3.89,799.17,4431,2024-02-28 06:53:38.539200,510,-115.48,61.34,42.41,2.0
8322,router,Android,Samsung,Vodafone,8035,Jacqueline Huang,21,"(Decimal('-76.8687015'), Decimal('-18.718452'))",6.02,379.32,3780,2024-01-28 20:30:37.606457,485,-71.57,35.14,43.65,1.89
1923,IoT device,Windows,Samsung,AT&T,2627,Frank Vasquez,30,"(Decimal('-89.051441'), Decimal('-75.298852'))",49.31,581.34,1249,2024-02-10 10:05:37.926915,315,-47.24,24.93,42.2,0.09
